"Collection Name","Title#1","Title Type#1","Name#1","Name Role Term Text#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Abstract#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Name#1","Subject Name URI#1","Subject Geographic#1","Subject Geographic URI#1","Subject Temporal#1","Subject Temporal URI#1","Identifier#1","Identifier ARK#1","Physical Location#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"CU Museum of Natural History: Yellow Jacket Collection","1981 field crew: JBW, BB, DT, EM, AW, KK, RH, PW","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1982","","","","1 photograph; 2"" x 2""","color slides","https://vocab.getty.edu/aat/300128366","A group photograph shows eight people leaning on the side of a dirt wall at the Yellow Jacket archeological dig site – six students and two adults, one of which is Joe Ben Wheat. The students wear matching yellow t-shirts that read: “Joe Ben’s Girls Y.J. 81” along with their first names. There are bushes, a pile of objects and tools, and a wheelbarrow in the background behind them.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","","","","","","","","","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC06.05_001_023.jpg","https://ark.colorado.edu/ark:/47540/x63q7f69114h","CU Museum of Natural History","2022","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","114","1248054","5263","YJC06.05_001_023.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~114~1248054"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-123 catalog","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","1987","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","3 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This lab catalog created in the field at the Yellow Jacket site contains an abbreviated inventory and description, including catalog numbers, of objects at site 5MT-123. Composed by students and staff at the University of Colorado Boulder Natural History Museum, the document contains handwritten notes on grid-lined paper.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_002.04_001.pdf","https://ark.colorado.edu/ark:/47540/mz6x1316k381","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","3","1248257","5263","YJC01.02_002.04_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~3~1248257"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-136 catalog","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","1987","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","2 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This lab catalog created in the field at the Yellow Jacket site contains an abbreviated inventory and description, including catalog numbers, of objects at site 5MT-136. Composed by students and staff at the University of Colorado Boulder Natural History Museum, the document contains handwritten notes on grid-lined paper.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_002.04_002.pdf","https://ark.colorado.edu/ark:/47540/3w397446p7c8","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","4","1248255","5263","YJC01.02_002.04_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~4~1248255"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-2 ceramic analysis sheets","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Field notes","https://vocab.getty.edu/aat/300027201","Undated","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","124 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This document contains handwritten inventories and ceramic analysis forms composed about ceramic objects discovered at the Yellow Jacket site, section 5MT-2.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Ceramics","https://lccn.loc.gov/sh85022017","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_004_001.pdf","https://ark.colorado.edu/ark:/47540/vt4w5365815d","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","9","1248245","5263","YJC01.02_004_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~9~1248245"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-2 photo catalog","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","1986/1988","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","8 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This document contains a handwritten list of photographs taken at the Yellow Jacket site, section 5MT-2. The descriptions contain information about exposure number, direction the photo was taken in, brief notes on content, and the photographer. There is also a handwritten sample soil description sheet included at the start.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Cataloging of pictures","https://lccn.loc.gov/sh85020876","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_002.06_001.pdf","https://ark.colorado.edu/ark:/47540/2r72772030vr","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","7","1248249","5263","YJC01.02_002.06_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~7~1248249"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-2 plan maps, profiles, and drawings","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Field notes","https://vocab.getty.edu/aat/300027201","Undated","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","13 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This document contains handwritten illustrations and descriptive notes written on the field at the Yellow Jacket site, section 5MT-2. Blank analysis forms were also scanned alongside these pages.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_003_001.pdf","https://ark.colorado.edu/ark:/47540/pg5q8x81f58m","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","8","1248247","5263","YJC01.02_003_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~8~1248247"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-2 soil samples","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Field notes","https://vocab.getty.edu/aat/300027201","1982/1986","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","24 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This document contains a written description of scientific observations on soil done at the Yellow Jacket site. Included are typewritten pages and handwritten soil sample notes.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Soil profiles","https://lccn.loc.gov/sh85124373","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_002.05_001.pdf","https://ark.colorado.edu/ark:/47540/0r3t9s5973s7","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","6","1248251","5263","YJC01.02_002.05_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~6~1248251"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-2: Lab catalog, 1986","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","1986","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","42 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This lab catalog created in the field at the Yellow Jacket site contains inventories, descriptive information, illustrations, catalog numbers, and notes taken about site 5MT-2. Composed by students and staff at the University of Colorado Boulder Natural History Museum, the document contains handwritten notes and catalogs on grid-lined paper.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_002.03_001.pdf","https://ark.colorado.edu/ark:/47540/70467z33b75p","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1","1248261","5263","YJC01.02_002.03_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~1~1248261"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-2: Lab catalog, 1988","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","1986/1988","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","173 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This lab catalog created in the field at the Yellow Jacket site contains inventories, descriptive information, illustrations, catalog numbers, and notes taken about site 5MT-2. Composed by students and staff at the University of Colorado Boulder Natural History Museum, the document contains handwritten notes and catalogs on grid-lined paper.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.02_002.03_003.pdf","https://ark.colorado.edu/ark:/47540/b39n3j50q56d","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","2","1248259","5263","YJC01.02_002.03_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~2~1248259"
"CU Museum of Natural History: Yellow Jacket Collection","5MT-3 Area 1 drawings: Abraders","Devised","University of Colorado Museum of Natural History","Creator","http://id.loc.gov/authorities/names/no2020079554","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Field notes","https://vocab.getty.edu/aat/300027201","1980","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","21 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This document, created in the field at the Yellow Jacket site section 5MT-3 Area 1, contains observations involving the discovery of abraders - an artifact made of sandstone used for smoothing, sharpening, or shaping. The pages include illustrations, scientific observations, and measurements of the objects.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Ancestral Pueblo culture","https://lccn.loc.gov/sh2014001391","University of Colorado Boulder--Graduate work","https://lccn.loc.gov/sh85141124","Tools--Drawings","https://lccn.loc.gov/sh85136050","Indians of North America--Southwest, New--Antiquities","https://lccn.loc.gov/sh85065521","","","Wheat, Joe Ben","http://id.loc.gov/authorities/names/n86818999","Yellow Jacket Site (Colo.)","http://id.loc.gov/authorities/subjects/sh87000488","Twentieth century","https://lccn.loc.gov/sh85139020","YJC01.03_001.04_009.pdf","https://ark.colorado.edu/ark:/47540/b09m4380z8st","CU Museum of Natural History","2021","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","18","1248227","5263","YJC01.03_001.04_009.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~50~50~18~1248227"
